"","G","R","total_cost","beta","bias","mse","coverage"
"119",121,4,9680,0,0.00934878944310326,0.024023345639953,0.96
"120",122,4,9760,0,-0.0031451808175428,0.0289991042530605,0.92
"121",123,4,9840,0,0.00579743846051707,0.0219827025369878,0.95
"122",124,4,9920,0,-0.00386104838157196,0.0250216374067551,0.95
"123",125,4,10000,0,0.00777948778330008,0.0245154282062303,0.92
"124",126,3,8820,0,-0.017014727450343,0.030353940036099,0.92
"125",127,3,8890,0,-0.0174733385327008,0.0247387732269048,0.96
"126",128,3,8960,0,-0.00591546243068019,0.0243735384103338,0.97
"127",129,3,9030,0,-0.00136064594542001,0.0344525675412639,0.91
"128",130,3,9100,0,-0.00881723428032328,0.0281723790934468,0.93
"129",131,3,9170,0,-0.0131061993603455,0.0205412429661631,0.97
"130",132,3,9240,0,-0.0260195712856266,0.0239602154255184,0.95
"131",133,3,9310,0,-0.000413918510500697,0.0230112684783869,0.93
"132",134,3,9380,0,0.0167218123989763,0.0283631616059326,0.93
"133",135,3,9450,0,-0.0104703057213581,0.0205104508094585,0.97
"134",136,3,9520,0,-0.0188381033738179,0.0301326844094879,0.93
"135",137,3,9590,0,-0.0201947116322146,0.0237048915928565,0.96
"136",138,3,9660,0,-0.000323033620254408,0.0153253596789392,0.99
"137",139,3,9730,0,-0.0145837929506133,0.0265429627884466,0.93
"138",140,3,9800,0,0.0256461137102835,0.0184617660789541,0.99
"139",141,3,9870,0,0.00604680235469158,0.0197186360971454,0.96
"140",142,3,9940,0,-0.00375012450715553,0.0166979152056688,0.95
"141",143,2,8580,0,-0.00397143298336893,0.0302118470019065,0.94
"142",144,2,8640,0,0.0228420419843715,0.0315790669830687,0.92
"143",145,2,8700,0,0.0054722131984385,0.023186434645095,0.98
"144",146,2,8760,0,-0.00883129573010882,0.0278860515753443,0.97
"145",147,2,8820,0,-0.00147021301316859,0.0193983262650432,0.98
"146",148,2,8880,0,-0.00302356834182062,0.0264502052740614,0.94
"147",149,2,8940,0,0.0162263024812272,0.024092662545853,0.95
"148",150,2,9000,0,-0.00491268269523399,0.0198254302897128,0.99
"149",151,2,9060,0,-0.0240227860032719,0.0283149942458032,0.95
"150",152,2,9120,0,0.0084266264683954,0.0244310555997272,0.97
"151",153,2,9180,0,-0.0230825681781785,0.0297053586698638,0.93
"152",154,2,9240,0,-0.00402643119691801,0.0279384580349495,0.95
"153",155,2,9300,0,-0.00295829902507183,0.022467509911759,0.97
"154",156,2,9360,0,-0.00849123452650902,0.025944283441507,0.95
"155",157,2,9420,0,0.003070717083653,0.0311964258728161,0.92
"156",158,2,9480,0,0.000443189679180549,0.0239556542892066,0.97
"157",159,2,9540,0,0.000918041324979739,0.0256877579137567,0.95
"158",160,2,9600,0,0.00439071132963337,0.0218364296771136,0.99
"159",161,2,9660,0,-0.00242242160174135,0.0320020228528244,0.92
"160",162,2,9720,0,0.0213833419853089,0.0238601142103239,0.95
"161",163,2,9780,0,-0.018083337149236,0.0277702502079376,0.95
"162",164,2,9840,0,0.0347338337690525,0.0205916836982405,0.96
"163",165,2,9900,0,0.00674953994668326,0.0277282792631122,0.91
"164",166,2,9960,0,0.00406822427924023,0.0213174476765617,0.96
"165",167,1,8350,0,-0.00817872813110411,0.0323656063225716,0.95
"166",168,1,8400,0,0.0351765407433338,0.0306206100822569,0.96
"167",169,1,8450,0,-0.00601778197875337,0.0365391683817858,0.93
"168",170,1,8500,0,0.00180511104108648,0.0342909161961302,0.95
"169",171,1,8550,0,-0.00179868760675362,0.0372143465474447,0.94
"170",172,1,8600,0,0.0328025598254335,0.0500056007072934,0.92
"171",173,1,8650,0,-0.0146431964738695,0.0307158895038671,0.98
"172",174,1,8700,0,-0.00515479609528829,0.0340994209955163,0.95
"173",175,1,8750,0,-0.00166104372040152,0.0358442426240338,0.96
"174",176,1,8800,0,0.00880054972139049,0.0267249837386638,0.98
"175",177,1,8850,0,-0.00580714117797194,0.0302683695215901,0.97
"176",178,1,8900,0,-0.0208637907026913,0.0318722661905959,0.95
"177",179,1,8950,0,0.0167620976752243,0.028526037408369,0.96
"178",180,1,9000,0,0.00451786317498926,0.0323978325114327,0.92
"179",181,1,9050,0,0.00182148532550468,0.0243509676963195,0.97
"180",182,1,9100,0,-0.0119465229215597,0.0272705415967844,0.97
"181",183,1,9150,0,0.0110964845297896,0.0363871116566094,0.95
"182",184,1,9200,0,0.0135808654895726,0.0402052195203597,0.93
"183",185,1,9250,0,-0.012382900165586,0.0324505110216905,0.98
"184",186,1,9300,0,0.0094962211447037,0.0326846832018691,0.93
"185",187,1,9350,0,-0.024267803686427,0.0346593430102994,0.93
"186",188,1,9400,0,-0.0123602170268912,0.0308228084184393,0.94
"187",189,1,9450,0,-0.00332098118399198,0.027818199803489,0.97
"188",190,1,9500,0,-0.0323877591990704,0.0385372443192962,0.92
"189",191,1,9550,0,-0.00704410307868483,0.0254643859113287,0.97
"190",192,1,9600,0,0.017325788919967,0.0267851431946859,0.99
"191",193,1,9650,0,-0.0207369051793457,0.0291381532654415,0.95
"192",194,1,9700,0,0.0230956714761957,0.0280217400245211,0.96
"193",195,1,9750,0,0.000871367733379509,0.0377013787542535,0.92
"194",196,1,9800,0,-0.00334814322928102,0.0301191731421716,0.96
"195",197,1,9850,0,0.020132513103949,0.0315059983923074,0.94
"196",198,1,9900,0,-0.068087212567631,0.0311092351874993,0.91
"197",199,1,9950,0,-0.0103246402506178,0.0324546632693619,0.95
"198",200,1,10000,0,0.0250653823584867,0.0343614001430036,0.93
"199",3,329,9990,0.5,0.0483576740397854,0.863063669190656,0.44
"200",4,246,10000,0.5,-0.0193684926936952,0.590311632645778,0.66
"201",5,196,10000,0.5,-0.0218024063319743,0.346730791347406,0.79
"202",6,162,9960,0.5,-0.0229115181959508,0.440586128408886,0.82
"203",7,138,9940,0.5,-0.0406828118130045,0.276543030811524,0.84
"204",8,121,10000,0.5,0.0347182441685681,0.21300452271373,0.91
"205",9,107,9990,0.5,-0.0304351754247772,0.255587747579367,0.9
"206",10,96,10000,0.5,0.026503830765457,0.215136189475978,0.92
"207",11,86,9900,0.5,0.040131352029173,0.174381823479796,0.91
"208",12,79,9960,0.5,0.0351140288595488,0.185156103050091,0.89
"209",13,72,9880,0.5,0.0159933851796854,0.15062160521419,0.91
"210",14,67,9940,0.5,-0.0139653372695675,0.161148438824661,0.9
"211",15,62,9900,0.5,-0.0484567644692833,0.137962767586672,0.91
"212",16,58,9920,0.5,0.0604022987246853,0.12872042046372,0.93
"213",17,54,9860,0.5,0.010390490122871,0.133577960236234,0.91
"214",18,51,9900,0.5,0.0243685660628072,0.122208821469907,0.93
"215",19,48,9880,0.5,-0.0244542675549314,0.119189802174853,0.97
"216",20,46,10000,0.5,0.0160255552502204,0.112232231901476,0.92
"217",21,43,9870,0.5,0.0278779096082736,0.078331006068957,0.93
"218",22,41,9900,0.5,0.0463852140160936,0.0699607976538233,0.97
"219",23,39,9890,0.5,0.0068979625880804,0.0960146239694865,0.93
"220",24,37,9840,0.5,0.00622677277117734,0.0954824147171974,0.9
"221",25,36,10000,0.5,0.00602020261342473,0.11456602142459,0.91
"222",26,34,9880,0.5,-0.0104677321988658,0.0680772664369473,0.95
"223",27,33,9990,0.5,-0.0473766099615532,0.0871000611044135,0.91
"224",28,31,9800,0.5,-0.0105660409643765,0.101444687094725,0.91
