"","G","R","total_cost","gamma2","bias","mse","coverage"
"2276",100,6,10000,2.3,-0.0246045014993629,0.119372487523696,0.93
"2277",101,5,9090,2.3,0.0620374581469813,0.0852848316719362,0.97
"2278",102,5,9180,2.3,-0.038029726545231,0.10505700045516,0.96
"2279",103,5,9270,2.3,-0.0295684029784068,0.106697660675635,0.9
"2280",104,5,9360,2.3,0.058614326312427,0.098424936985907,0.93
"2281",105,5,9450,2.3,0.0169491585612049,0.113443872323285,0.93
"2282",106,5,9540,2.3,-0.00923791154757297,0.103598462859023,0.9
"2283",107,5,9630,2.3,-0.0218846461784189,0.0870902452037141,0.97
"2284",108,5,9720,2.3,-0.0393926631311868,0.0984235890679398,0.93
"2285",109,5,9810,2.3,0.07473924640358,0.108563984783743,0.93
"2286",110,5,9900,2.3,-0.0242966401825605,0.0809359020887644,0.94
"2287",111,5,9990,2.3,-0.0296208677845046,0.0827851438665081,0.98
"2288",112,4,8960,2.3,-0.0173577859524771,0.0902509354482215,0.94
"2289",113,4,9040,2.3,0.0291405173348788,0.0886521664062679,0.97
"2290",114,4,9120,2.3,0.0932053697343391,0.102317257730959,0.93
"2291",115,4,9200,2.3,-0.024891449882517,0.0664915835796934,0.98
"2292",116,4,9280,2.3,0.0336381984028959,0.089944928686646,0.95
"2293",117,4,9360,2.3,-0.000228945387213131,0.0850486333140124,0.96
"2294",118,4,9440,2.3,-0.0219857308233967,0.0875300847913125,0.96
"2295",119,4,9520,2.3,-0.0193713733697957,0.103701059674629,0.91
"2296",120,4,9600,2.3,-0.0391084963369074,0.0925367011625366,0.94
"2297",121,4,9680,2.3,-0.0180408447636257,0.0812266761809865,0.92
"2298",122,4,9760,2.3,0.00990790090012195,0.076266361427138,0.95
"2299",123,4,9840,2.3,-0.000754598712048693,0.0905187219287164,0.97
"2300",124,4,9920,2.3,0.0600898393637345,0.075696194548899,0.96
"2301",125,4,10000,2.3,0.00337845978045381,0.0665931575076985,0.96
"2302",126,3,8820,2.3,0.017865696544009,0.0978130508559517,0.93
"2303",127,3,8890,2.3,0.0640478221803001,0.0792554678021778,0.97
"2304",128,3,8960,2.3,-0.00185584449044018,0.0655643496003143,0.97
"2305",129,3,9030,2.3,0.0178211007841632,0.0752207224531206,0.95
"2306",130,3,9100,2.3,0.0185361820952539,0.0898075801739102,0.94
"2307",131,3,9170,2.3,0.0444303744112118,0.0741115582639444,0.94
"2308",132,3,9240,2.3,0.0125889558011179,0.0851854079749251,0.92
"2309",133,3,9310,2.3,-0.0337868258713369,0.0940117848254053,0.94
"2310",134,3,9380,2.3,0.0384453156674873,0.099276369945072,0.9
"2311",135,3,9450,2.3,-0.00294992978393882,0.0923798173286666,0.93
"2312",136,3,9520,2.3,0.0484377624425761,0.0745369830079851,0.96
"2313",137,3,9590,2.3,-0.0693149195592568,0.075656067975661,0.93
