"","G","R","total_cost","alpha","bias","mse","coverage"
"642",50,16,10000,1.5,0.00515084957868406,0.0466069619823871,0.95
"643",51,15,9690,1.5,0.0340224185035812,0.0462157064280465,0.95
"644",52,15,9880,1.5,0.0178870623462518,0.0496201113169457,0.96
"645",53,14,9540,1.5,0.00671632074186734,0.036310804640982,0.96
"646",54,14,9720,1.5,-0.00972521772020002,0.0394195303502753,0.95
"647",55,14,9900,1.5,-0.0541772901304624,0.0442198274576863,0.92
"648",56,13,9520,1.5,-0.0347526248044988,0.0450642387912087,0.92
"649",57,13,9690,1.5,0.0172259876866949,0.0428991778684209,0.94
"650",58,13,9860,1.5,0.020636154071034,0.0459891566420725,0.93
"651",59,12,9440,1.5,0.0474841121053479,0.0418434714565345,0.92
"652",60,12,9600,1.5,-0.0145415121635016,0.0341092402068938,0.95
"653",61,12,9760,1.5,-0.0139051608848477,0.0399534194293611,0.96
"654",62,12,9920,1.5,0.00511144199676827,0.0292381237085137,0.98
"655",63,11,9450,1.5,0.0104371757227366,0.0475519454350971,0.92
"656",64,11,9600,1.5,0.00609546494982949,0.0248431900799027,0.99
"657",65,11,9750,1.5,-0.0135033866271034,0.0396983104874558,0.96
"658",66,11,9900,1.5,-0.0332431706101698,0.0383140352338457,0.93
"659",67,10,9380,1.5,-0.00635248290687623,0.03956248733004,0.94
"660",68,10,9520,1.5,-0.0087549116932682,0.0387593908902875,0.9
"661",69,10,9660,1.5,-0.00532726711873888,0.0398540143484527,0.96
"662",70,10,9800,1.5,0.00876893854013827,0.0378606235363636,0.94
"663",71,10,9940,1.5,-0.00719087210712183,0.0254250012547823,0.98
"664",72,9,9360,1.5,-0.0213140606948196,0.0252154713711401,0.96
"665",73,9,9490,1.5,-0.0222567950450326,0.0274989765722425,0.98
"666",74,9,9620,1.5,-0.00569267545809893,0.0318384623231462,0.95
"667",75,9,9750,1.5,0.00252613489367548,0.0324118333333212,0.97
"668",76,9,9880,1.5,-0.0107576608871305,0.0298246877714159,0.94
"669",77,8,9240,1.5,-0.00266929742921618,0.0365365779139067,0.96
"670",78,8,9360,1.5,0.0376593235739802,0.0305463495953755,0.97
"671",79,8,9480,1.5,0.00362431912458716,0.0432214361722348,0.92
"672",80,8,9600,1.5,0.0142912745886894,0.0353702784242819,0.94
"673",81,8,9720,1.5,0.0121646087300487,0.0289501514951749,0.96
"674",82,8,9840,1.5,0.0142534817059931,0.0286202400015331,0.94
"675",83,8,9960,1.5,0.0332335856329639,0.0328599969240905,0.96
"676",84,7,9240,1.5,-0.00599184296055971,0.0264498154444087,0.96
"677",85,7,9350,1.5,0.018681768966787,0.0296735882204264,0.94
"678",86,7,9460,1.5,-0.0155495907953008,0.0305967370566893,0.95
"679",87,7,9570,1.5,-0.0220167034165041,0.0283835033080656,0.95
"680",88,7,9680,1.5,-0.0346429548908885,0.030805181913861,0.98
"681",89,7,9790,1.5,0.00772505567229564,0.0338151872708386,0.92
"682",90,7,9900,1.5,0.0340671694228988,0.0292904083760184,0.91
"683",91,6,9100,1.5,-0.04142917415043,0.0359816482742472,0.9
"684",92,6,9200,1.5,-0.00793632666298483,0.025914108497204,0.95
"685",93,6,9300,1.5,0.00171596891266801,0.0264655707720125,0.96
"686",94,6,9400,1.5,-0.0163623419333094,0.0400590112115863,0.87
"687",95,6,9500,1.5,-0.00879034954549829,0.0232009765008039,0.97
"688",96,6,9600,1.5,-8.92420714811437e-05,0.0255252634664889,0.97
"689",97,6,9700,1.5,0.00455373980078411,0.0320075517330349,0.93
"690",98,6,9800,1.5,-0.00491608553548556,0.030127466317343,0.94
"691",99,6,9900,1.5,0.0209890179287359,0.0368621418097334,0.88
"692",100,6,10000,1.5,0.0355637488372211,0.0296236403080963,0.91
"693",101,5,9090,1.5,0.0207231124389959,0.023471284426705,0.96
"694",102,5,9180,1.5,-0.0121625376070284,0.0261880245426079,0.97
"695",103,5,9270,1.5,0.0192920211569561,0.0258359283648927,0.95
"696",104,5,9360,1.5,0.00529704010271537,0.0302276896263728,0.91
"697",105,5,9450,1.5,0.024157266856628,0.0288003413576615,0.95
"698",106,5,9540,1.5,0.0187234568981113,0.0292502733019474,0.95
"699",107,5,9630,1.5,0.0158555001806283,0.03186615120335,0.91
"700",108,5,9720,1.5,-0.00804583712131296,0.0272567597674235,0.94
"701",109,5,9810,1.5,-0.00231105702445278,0.0212122456426093,0.97
"702",110,5,9900,1.5,-0.0298547614304488,0.0268662954218527,0.97
"703",111,5,9990,1.5,0.0130832075306951,0.023506371659965,0.95
"704",112,4,8960,1.5,-0.00408652101226137,0.0226617322489615,0.96
"705",113,4,9040,1.5,0.00524630678345539,0.0272158982779844,0.97
"706",114,4,9120,1.5,-6.78773489716233e-05,0.0267619376764664,0.94
"707",115,4,9200,1.5,-0.0189067278619434,0.0281580099951382,0.94
"708",116,4,9280,1.5,-0.0489003503792283,0.0261925362148475,0.93
"709",117,4,9360,1.5,0.00833264908083664,0.0306608668108719,0.92
"710",118,4,9440,1.5,-0.0262769511753325,0.0227498836892982,0.97
"711",119,4,9520,1.5,0.0102623305928106,0.0273950071035006,0.94
"712",120,4,9600,1.5,0.000785724585786407,0.022192714422896,0.97
"713",121,4,9680,1.5,0.00315783537628445,0.0206326121244486,0.97
"714",122,4,9760,1.5,0.00215156515903159,0.0256464936126246,0.94
"715",123,4,9840,1.5,-0.0289030978629483,0.0265918165524278,0.96
"716",124,4,9920,1.5,-0.0183235280652667,0.0242160591721362,0.96
"717",125,4,10000,1.5,0.00373002309286918,0.0277679939833053,0.95
"718",126,3,8820,1.5,-0.00140575028042272,0.0224775536673214,0.96
"719",127,3,8890,1.5,-0.00204973472448311,0.0285921938682272,0.97
"720",128,3,8960,1.5,0.00238489126361885,0.028200161687659,0.95
"721",129,3,9030,1.5,-0.0169471800483702,0.030706574184952,0.94
"722",130,3,9100,1.5,0.0103948917145628,0.0257408294593578,0.98
"723",131,3,9170,1.5,0.00324802596582963,0.0289531691140744,0.92
"724",132,3,9240,1.5,0.0253470191512764,0.0219993307664654,0.96
"725",133,3,9310,1.5,0.00353061851674552,0.0277067673698545,0.93
"726",134,3,9380,1.5,0.00284107584052673,0.0294942910727727,0.93
"727",135,3,9450,1.5,0.0111717073106963,0.0304066989495747,0.92
"728",136,3,9520,1.5,-0.0156873521386493,0.026526877957958,0.95
"729",137,3,9590,1.5,-0.00436058649455462,0.0205782202156636,0.96
"730",138,3,9660,1.5,0.0105405346008378,0.0247711678751416,0.95
"731",139,3,9730,1.5,0.00932199377186504,0.0294190618200051,0.91
"732",140,3,9800,1.5,0.0155447161902467,0.0297369526631098,0.94
"733",141,3,9870,1.5,-0.00081319164331134,0.0232701041368725,0.94
"734",142,3,9940,1.5,-0.00712809386923002,0.0217549048995365,0.95
