"","G","R","total_cost","gamma2","bias","mse","coverage"
"595",3,329,9990,0.7,0.0108675703793066,1.13608967726743,0.48
"596",4,246,10000,0.7,-0.0386275004886045,0.935191135928366,0.61
"597",5,196,10000,0.7,-0.0624833843004591,0.695823404702121,0.67
"598",6,162,9960,0.7,-0.0968120559502004,0.578399011544992,0.74
"599",7,138,9940,0.7,0.0418784198309462,0.461044534686059,0.79
"600",8,121,10000,0.7,0.0359080973336896,0.42390240915516,0.84
"601",9,107,9990,0.7,0.0342683627001038,0.436776540083425,0.81
"602",10,96,10000,0.7,0.0540893629887713,0.303583829577022,0.85
"603",11,86,9900,0.7,0.0358030995180921,0.378130060497842,0.83
"604",12,79,9960,0.7,-0.066271521107246,0.310457853693996,0.84
"605",13,72,9880,0.7,-0.0233152456286342,0.282419161774784,0.87
"606",14,67,9940,0.7,-0.0748222677167627,0.216927250456207,0.86
"607",15,62,9900,0.7,0.0132191991391246,0.25740466249788,0.87
"608",16,58,9920,0.7,0.0249945134430608,0.212192886057602,0.89
"609",17,54,9860,0.7,-0.0217395691401455,0.254661716334272,0.9
"610",18,51,9900,0.7,0.0881890434891849,0.206681339000421,0.91
"611",19,48,9880,0.7,0.0442800848853029,0.192091418217028,0.86
"612",20,46,10000,0.7,-0.0140684025640284,0.208133580254596,0.88
"613",21,43,9870,0.7,0.0433470116901034,0.204062660719002,0.85
"614",22,41,9900,0.7,-0.0204536657612721,0.153493564937341,0.9
"615",23,39,9890,0.7,0.0227080817804928,0.191782921295403,0.9
"616",24,37,9840,0.7,0.00870761938556264,0.13359296267065,0.89
"617",25,36,10000,0.7,-0.03966407449308,0.145840966663554,0.89
"618",26,34,9880,0.7,0.0162580418494762,0.159955068940088,0.9
"619",27,33,9990,0.7,0.00228864660960859,0.143319159196099,0.91
"620",28,31,9800,0.7,-0.0733840816739233,0.154736234096048,0.85
"621",29,30,9860,0.7,-0.0787760487588958,0.160129332970677,0.88
"622",30,29,9900,0.7,0.0538198732865693,0.140392935685874,0.93
"623",31,28,9920,0.7,-0.0147105447783578,0.134534008665824,0.94
"624",32,27,9920,0.7,0.00644086612978478,0.123940871631095,0.9
"625",33,26,9900,0.7,0.0011115841755085,0.121739390330666,0.88
"626",34,25,9860,0.7,-0.0191777418472835,0.136294082311004,0.89
"627",35,24,9800,0.7,-0.0259496033882237,0.110620344084692,0.9
"628",36,23,9720,0.7,0.00709833668568949,0.116809890840117,0.91
"629",37,23,9990,0.7,0.0320711178007188,0.104799127024552,0.91
"630",38,22,9880,0.7,0.023561374141389,0.115719825183531,0.9
"631",39,21,9750,0.7,-0.0337046217501589,0.131077826087134,0.87
"632",40,21,10000,0.7,-0.00996136608610665,0.068563439128487,0.96
"633",41,20,9840,0.7,-0.0194853431920388,0.0709004776042195,0.92
"634",42,19,9660,0.7,-0.0374708871190944,0.103929650535441,0.92
"635",43,19,9890,0.7,-0.0155337055626769,0.101595053681168,0.87
"636",44,18,9680,0.7,0.0398061979062583,0.0998733314741226,0.92
"637",45,18,9900,0.7,0.014079417677656,0.0869441899297511,0.93
"638",46,17,9660,0.7,0.0465457529846557,0.0963680409624733,0.92
"639",47,17,9870,0.7,-0.0182157976970475,0.0739661938004637,0.94
"640",48,16,9600,0.7,0.0304246873540115,0.10201290170504,0.9
"641",49,16,9800,0.7,-0.0112490666581115,0.0679904274830894,0.92
"642",50,16,10000,0.7,0.00707293050321978,0.0797074544183533,0.92
"643",51,15,9690,0.7,0.0152595039556824,0.0876184414210646,0.93
"644",52,15,9880,0.7,-0.00451802318813627,0.0745240571572208,0.92
"645",53,14,9540,0.7,-0.0625601779412627,0.0813908255870112,0.9
"646",54,14,9720,0.7,0.0243610691207232,0.0815079343076717,0.92
"647",55,14,9900,0.7,-0.0198763155583745,0.0714958936462415,0.95
"648",56,13,9520,0.7,0.00587491745238344,0.0631734471057639,0.94
"649",57,13,9690,0.7,-0.031264826523111,0.0681370258494999,0.92
"650",58,13,9860,0.7,-0.00732044680768817,0.0626570303842034,0.92
"651",59,12,9440,0.7,-0.0121698640516361,0.0713550309587786,0.89
"652",60,12,9600,0.7,0.0315207713089849,0.0705928138417371,0.93
"653",61,12,9760,0.7,-0.0357378825618173,0.0762510495241545,0.91
"654",62,12,9920,0.7,-0.0192476656433741,0.066998624312792,0.92
"655",63,11,9450,0.7,0.00237967397415229,0.0631238770253736,0.88
"656",64,11,9600,0.7,0.0240265920035172,0.055532787166961,0.93
"657",65,11,9750,0.7,-0.0173836703412427,0.0539917151339703,0.93
"658",66,11,9900,0.7,-0.0456463364669801,0.0587148760374214,0.93
"659",67,10,9380,0.7,-0.037322951035723,0.0363335888749856,0.99
"660",68,10,9520,0.7,-0.0100748925444407,0.0608885287582421,0.91
"661",69,10,9660,0.7,0.0034691443483138,0.0554626217867877,0.94
"662",70,10,9800,0.7,0.0160706907620689,0.0446910334560269,0.95
"663",71,10,9940,0.7,0.0115708355397879,0.0637535701870518,0.96
"664",72,9,9360,0.7,-0.0240962899432406,0.0593318460446596,0.92
"665",73,9,9490,0.7,-0.0159096194705971,0.0583578076820899,0.93
"666",74,9,9620,0.7,0.0124729396081498,0.0506506227724152,0.93
"667",75,9,9750,0.7,-0.00648628275218693,0.0597597411150619,0.9
"668",76,9,9880,0.7,-0.0169184305341393,0.0459500567245106,0.9
"669",77,8,9240,0.7,0.025512750400443,0.0631170818709871,0.9
"670",78,8,9360,0.7,0.0303785090082153,0.0454634716170987,0.92
"671",79,8,9480,0.7,-0.0127722981440965,0.0486771721515594,0.94
"672",80,8,9600,0.7,0.000358216939111644,0.0426311968060832,0.93
"673",81,8,9720,0.7,0.0262592188005392,0.0500580280596911,0.95
"674",82,8,9840,0.7,-0.0158850858073959,0.0514172865384384,0.93
"675",83,8,9960,0.7,0.0182157480470052,0.0536623734573221,0.91
"676",84,7,9240,0.7,-0.020398663351977,0.0414669861305606,0.95
"677",85,7,9350,0.7,0.0145026213187465,0.046055233160054,0.92
"678",86,7,9460,0.7,-0.0255000655169708,0.0590529757950504,0.88
"679",87,7,9570,0.7,-0.00514441692263934,0.0554211061488444,0.91
"680",88,7,9680,0.7,0.043881378041602,0.0544962977748208,0.93
"681",89,7,9790,0.7,0.00777766511077371,0.0392086283236425,0.97
"682",90,7,9900,0.7,-0.0265423052328222,0.0421049390458516,0.97
"683",91,6,9100,0.7,0.0216570634179999,0.0415861405581838,0.93
"684",92,6,9200,0.7,-0.0375908834929491,0.0558115621911952,0.93
"685",93,6,9300,0.7,0.0146655262547893,0.0358616811430104,0.94
"686",94,6,9400,0.7,0.00757110522021776,0.0449440460232814,0.91
"687",95,6,9500,0.7,-0.0080357782363723,0.0447843473781153,0.91
"688",96,6,9600,0.7,0.022417356438075,0.0409070586791258,0.93
"689",97,6,9700,0.7,-0.00558377351364503,0.0423780739173547,0.92
"690",98,6,9800,0.7,0.0522803688675001,0.038139045630374,0.93
"691",99,6,9900,0.7,0.00672214352932476,0.0442933603929597,0.91
"692",100,6,10000,0.7,-0.0109034793670118,0.0317558884979759,0.95
"693",101,5,9090,0.7,0.00254843155042384,0.0351951672146517,0.94
"694",102,5,9180,0.7,-0.0191543800685802,0.0384566240494313,0.96
"695",103,5,9270,0.7,-0.00326135981412295,0.0402372557758523,0.9
